Model unknown

  Variables:
    shifts_facing_wall : Size=1150, Index=shifts_facing_wall_index
        Key      : Lower : Value                   : Upper : Fixed : Stale : Domain
         (3, 30) :   -50 :      1.1631594284265976 :    50 : False : False :  Reals
         (3, 31) :   -50 :      1.1602634813643076 :    50 : False : False :  Reals
         (3, 32) :   -50 :      1.1555637206050768 :    50 : False : False :  Reals
         (3, 33) :   -50 :      1.1487736204361123 :    50 : False : False :  Reals
         (3, 34) :   -50 :       1.139670971187985 :    50 : False : False :  Reals
         (3, 35) :   -50 :      1.1281112991033222 :    50 : False : False :  Reals
         (3, 36) :   -50 :      1.1140362234407182 :    50 : False : False :  Reals
         (3, 37) :   -50 :      1.0974761461180635 :    50 : False : False :  Reals
         (3, 38) :   -50 :      1.0785470721117338 :    50 : False : False :  Reals
         (3, 39) :   -50 :      1.0574418186841745 :    50 : False : False :  Reals
         (3, 40) :   -50 :       1.034416368740852 :    50 : False : False :  Reals
         (3, 41) :   -50 :      1.0097726388078228 :    50 : False : False :  Reals
         (3, 42) :   -50 :       0.983839453892933 :    50 : False : False :  Reals
         (3, 43) :   -50 :      0.9569540605782172 :    50 : False : False :  Reals
         (3, 44) :   -50 :      0.9294471215587811 :    50 : False : False :  Reals
         (3, 45) :   -50 :       0.901634975262971 :    50 : False : False :  Reals
          (4, 0) :   -50 :      1.1366941641164086 :    50 : False : False :  Reals
          (4, 1) :   -50 :       1.170624406220886 :    50 : False : False :  Reals
          (4, 2) :   -50 :       1.204165177550655 :    50 : False : False :  Reals
          (4, 3) :   -50 :      1.2369186019986311 :    50 : False : False :  Reals
          (4, 4) :   -50 :      1.2684776666331452 :    50 : False : False :  Reals
          (4, 5) :   -50 :      1.2984354993556755 :    50 : False : False :  Reals
          (4, 6) :   -50 :      1.3264014725348674 :    50 : False : False :  Reals
          (4, 7) :   -50 :      1.3520210197167557 :    50 : False : False :  Reals
          (4, 8) :   -50 :        1.37499628137854 :    50 : False : False :  Reals
          (4, 9) :   -50 :      1.3951050599298775 :    50 : False : False :  Reals
         (4, 10) :   -50 :      1.4122160236426178 :    50 : False : False :  Reals
         (4, 11) :   -50 :       1.426298620481636 :    50 : False : False :  Reals
         (4, 12) :   -50 :      1.4374267162412828 :    50 : False : False :  Reals
         (4, 13) :   -50 :      1.4457755290408214 :    50 : False : False :  Reals
         (4, 14) :   -50 :      1.4516119673468566 :    50 : False : False :  Reals
         (4, 15) :   -50 :       1.455278966228493 :    50 : False : False :  Reals
         (4, 16) :   -50 :      1.4571748343020883 :    50 : False : False :  Reals
         (4, 17) :   -50 :      1.4577289536327545 :    50 : False : False :  Reals
         (4, 18) :   -50 :      1.4573754035802957 :    50 : False : False :  Reals
         (4, 19) :   -50 :       1.456526199466155 :    50 : False : False :  Reals
         (4, 20) :   -50 :      1.4555458473075835 :    50 : False : False :  Reals
         (4, 21) :   -50 :      1.4547288187855054 :    50 : False : False :  Reals
         (4, 22) :   -50 :      1.4542813562231192 :    50 : False : False :  Reals
         (4, 23) :   -50 :      1.4543087393869523 :    50 : False : False :  Reals
         (4, 24) :   -50 :      1.4548088021580023 :    50 : False : False :  Reals
         (4, 25) :   -50 :      1.4556720981941471 :    50 : False : False :  Reals
